Full Name,Last Name,First Name,Sholar link,Citations,h-index,i10-index,t10-index,University,"Rank (Full, Associate, Assistant, Other)",UniversityID,
Benjamin Delaware,Delaware,Benjamin,https://scholar.google.com/citations?user=VS21MfgAAAAJ&hl=zh-CN&oi=ao,193,5,5,0,Purdue University - West Lafayette  ,Assistant,70,
Petros Drineas,Drineas,Petros,https://scholar.google.com/citations?user=Yw2PquQAAAAJ&hl=zh-CN&oi=ao,5789,37,72,180,Purdue University - West Lafayette  ,Assistant,70,
David Gleich,Gleich,David,https://scholar.google.com/citations?user=5m5ds6UAAAAJ&hl=en&oi=ao,1294,20,41,40,Purdue University - West Lafayette  ,Assistant,70,
Dan Goldwasser,Goldwasser,Dan,https://scholar.google.com/citations?user=u8358QgAAAAJ&hl=en&oi=ao,621,14,17,25,Purdue University - West Lafayette  ,Assistant,70,
Elena Grigorescu,Grigorescu,Elena,NA,NaN,NaN,NaN,10,Purdue University - West Lafayette  ,Assistant,70,
Jean Honorio,Honorio,Jean,https://scholar.google.com/citations?user=8OW3TMMAAAAJ&hl=zh-CN&oi=ao,722,11,22,22,Purdue University - West Lafayette  ,Assistant,70,
Aniket Kate,Kate,Aniket,https://scholar.google.com/citations?user=dmhWxJgAAAAJ&hl=zh-CN&oi=ao,867,16,26,31,Purdue University - West Lafayette  ,Assistant,70,
Byoungyoung Lee,Lee,Byoungyoung,https://scholar.google.com/citations?user=AoDgrKIAAAAJ&hl=zh-CN&oi=ao,142,8,6,0,Purdue University - West Lafayette  ,Assistant,70,
Hemanta Maji,Maji,Hemanta,https://scholar.google.com/citations?user=sCL2jBcAAAAJ&hl=zh-CN&oi=ao,734,12,15,16,Purdue University - West Lafayette  ,Assistant,70,
Mathias Payer,Payer,Mathias,https://scholar.google.com/citations?user=9cFCY5wAAAAJ&hl=en&oi=ao,717,11,16,16,Purdue University - West Lafayette  ,Assistant,70,
Bruno Ribeiro,Ribeiro,Bruno,https://scholar.google.com/citations?user=KIEleCsAAAAJ&hl=zh-CN&oi=ao,769,15,18,17,Purdue University - West Lafayette  ,Assistant,70,
Tiark Rompf,Rompf,Tiark,https://scholar.google.com/citations?user=L8zhVsMAAAAJ&hl=en&oi=ao,1398,20,27,51,Purdue University - West Lafayette  ,Assistant,70,
Mohammad Sadoghi,Sadoghi,Mohammad,https://scholar.google.com/citations?user=Lx9fbJoAAAAJ&hl=zh-CN&oi=ao,558,12,15,14,Purdue University - West Lafayette  ,Assistant,70,
Roopsha Samanta,Samanta,Roopsha,https://scholar.google.com/citations?user=t6I0szEAAAAJ&hl=zh-CN&oi=ao,230,7,5,6,Purdue University - West Lafayette  ,Assistant,70,
He Wang,Wang,He,https://scholar.google.com/citations?user=sFIgGN0AAAAJ&hl=zh-CN&oi=sra,576,7,7,4,Purdue University - West Lafayette  ,Assistant,70,
"Adali, Sibel",Adali,Sibel,https://scholar.google.com/citations?user=Jk3gxBEAAAAJ&hl=en,1870,18,28,38,Rensselaer Polytechnic Institute  ,Full,71,
"Berman, Francine",Berman,Francine,NA,NaN,NaN,NaN,153,Rensselaer Polytechnic Institute  ,Full,71,
"Carothers, Christopher",Carothers,Christopher,https://scholar.google.com/citations?user=PQakxO4AAAAJ&hl=en,1890,23,43,53,Rensselaer Polytechnic Institute  ,Full,71,
"Hardwick, Martin",Hardwick,Martin,NA,NaN,NaN,NaN,32,Rensselaer Polytechnic Institute  ,Full,71,
"Hendler, Jim",Hendler,Jim,https://scholar.google.com/citations?user=JNPbTdIAAAAJ&hl=en,50252,82,235,619,Rensselaer Polytechnic Institute  ,Full,71,
"Magdon-Ismail, Malik",Magdon-Ismail,Malik,NA,NaN,NaN,NaN,74,Rensselaer Polytechnic Institute  ,Full,71,
"McGuinness, Deborah L.",McGuinness,Deborah L.,https://scholar.google.pt/citations?user=PLJ0L4QAAAAJ&hl=en&oi=ao,35568,63,149,649,Rensselaer Polytechnic Institute  ,Full,71,
"Spooner, David",Spooner,David,NA,NaN,NaN,NaN,NaN,Rensselaer Polytechnic Institute  ,Full,71,
"Stewart, Charles",Stewart,Charles,https://scholar.google.com/citations?user=7egtxu0AAAAJ&hl=en,4081,28,50,112,Rensselaer Polytechnic Institute  ,Full,71,
"Szymanski, Boleslaw",Szymanski,Boleslaw,https://scholar.google.com/citations?user=2OJOZTUAAAAJ&hl=en,10144,49,223,144,Rensselaer Polytechnic Institute  ,Full,71,
"Trinkle, Jeff",Trinkle,Jeff,https://scholar.google.com/citations?user=Dl0vAp8AAAAJ&hl=en,3991,32,67,92,Rensselaer Polytechnic Institute  ,Full,71,
"Yener, BÌ_lent",Yener,BÌ_lent,https://scholar.google.com/citations?user=0vWWXXUAAAAJ&hl=en,6361,37,71,160,Rensselaer Polytechnic Institute  ,Full,71,
"Zaki, Mohammed",Zaki,Mohammed,https://scholar.google.com/citations?user=UmwJklEAAAAJ&hl=en,19219,60,142,493,Rensselaer Polytechnic Institute  ,Full,71,
"Anshelevich, Elliot",Anshelevich,Elliot,https://scholar.google.com/citations?user=Qp5971IAAAAJ&hl=en,1499,15,21,28,Rensselaer Polytechnic Institute  ,Associate,71,
"Cutler, Barbara",Cutler,Barbara,NA,NaN,NaN,NaN,24,Rensselaer Polytechnic Institute  ,Associate,71,
"Ji, Heng",Ji,Heng,https://scholar.google.com/citations?user=z7GCqT4AAAAJ&hl=en,2457,26,71,70,Rensselaer Polytechnic Institute  ,Associate,71,
"Krishnamoorthy, Mukkai",Krishnamoorthy,Mukkai,https://scholar.google.com/citations?user=3XYmsKQAAAAJ&hl=en,2770,25,47,85,Rensselaer Polytechnic Institute  ,Associate,71,
"Milanova, Ana",Milanova,Ana,https://scholar.google.com/citations?user=PsGxHG0AAAAJ&hl=en,1372,15,23,30,Rensselaer Polytechnic Institute  ,Associate,71,
"Varela, Carlos",Varela,Carlos,https://scholar.google.com/citations?user=AeEgcugAAAAJ&hl=en,1245,20,40,32,Rensselaer Polytechnic Institute  ,Associate,71,
"Gittens, Alex",Gittens,Alex,https://scholar.google.com/citations?user=qN1Ss8EAAAAJ&hl=en,325,8,7,6,Rensselaer Polytechnic Institute  ,Assistant,71,
"Patterson, Stacy",Patterson,Stacy,https://scholar.google.com/citations?user=7b_ipvgAAAAJ&hl=en,684,11,14,22,Rensselaer Polytechnic Institute  ,Assistant,71,
"Slota, George M.",Slota,George M.,https://scholar.google.com/citations?user=xjiQaA0AAAAJ&hl=en,79,6,4,0,Rensselaer Polytechnic Institute  ,Assistant,71,
"Xia, Lirong",Xia,Lirong,https://scholar.google.com/citations?user=C19mgCgAAAAJ&hl=en,1749,26,42,47,Rensselaer Polytechnic Institute  ,Assistant,71,
"Zikas, Vassilis",Zikas,Vassilis,https://scholar.google.com/citations?user=bsFxGUIAAAAJ&hl=en,200,9,8,8,Rensselaer Polytechnic Institute  ,Assistant,71,
Robert S. Cartwright,Cartwright,Robert S.,https://scholar.google.com/citations?user=TtJeqqoAAAAJ&hl=en&oi=sra,2438,25,42,85,Rice University  ,Full,72,
Keith D. Cooper,Cooper,Keith D.,https://scholar.google.com/citations?user=ubiUvvgAAAAJ&hl=en&oi=sra,6993,41,66,183,Rice University  ,Full,72,
Alan L. Cox,Cox,Alan L.,https://scholar.google.com/citations?user=z28ApZkAAAAJ&hl=en&oi=sra,9109,42,80,179,Rice University  ,Full,72,
Ronald N. Goldman,Goldman,Ronald N.,NA,NaN,NaN,NaN,54,Rice University  ,Full,72,
Chris M. Jermaine,Jermaine,Chris M.,https://scholar.google.com/citations?user=D2P2B0MAAAAJ&hl=en&oi=sra,1911,22,41,53,Rice University  ,Full,72,
David B. Johnson,Johnson,David B.,NA,NaN,NaN,NaN,861,Rice University  ,Full,72,
Lydia E. Kavraki,Kavraki,Lydia E.,https://scholar.google.com/citations?user=Q6pxNZYAAAAJ&hl=en&oi=ao,18531,61,152,325,Rice University  ,Full,72,
John Mellor-Crummey,Mellor-Crummey,John,https://scholar.google.com/citations?user=wX0XpxMAAAAJ&hl=en&oi=ao,8673,47,93,157,Rice University  ,Full,72,
Luay K. Nakhleh,Nakhleh,Luay K.,https://scholar.google.com/citations?user=46HLWf8AAAAJ&hl=en&oi=sra,3075,33,63,80,Rice University  ,Full,72,
T. S. Eugene Ng,Ng,T. S. Eugene,https://scholar.google.com/citations?user=P07ZE9sAAAAJ&hl=en&oi=ao,6204,28,41,179,Rice University  ,Full,72,
Krishna V. Palem,Palem,Krishna V.,https://scholar.google.com/citations?user=TW6dnZUAAAAJ&hl=en&oi=sra,3127,32,61,85,Rice University  ,Full,72,
Scott Rixner,Rixner,Scott,https://scholar.google.com/citations?user=MvxSD2AAAAAJ&hl=en&oi=ao,5178,29,51,121,Rice University  ,Full,72,
Vivek Sarkar,Sarkar,Vivek,https://scholar.google.com/citations?user=XjeIqxYAAAAJ&hl=en&oi=ao,12912,53,136,233,Rice University  ,Full,72,
Devika Subramanian,Subramanian,Devika,https://scholar.google.com/citations?user=7eC3KMkAAAAJ&hl=en&oi=ao,2873,25,40,77,Rice University  ,Full,72,
Moshe Y. Vardi,Vardi,Moshe Y.,https://scholar.google.com/citations?user=DQaARsgAAAAJ&hl=en&oi=ao,38444,91,312,667,Rice University  ,Full,72,
Dan S. Wallach,Wallach,Dan S.,https://scholar.google.com/citations?user=oM25EQkAAAAJ&hl=en&oi=ao,9350,42,79,253,Rice University  ,Full,72,
Joe Warren,Warren,Joe,NA,NaN,NaN,NaN,150,Rice University  ,Full,72,
Swarat Chaudhuri,Chaudhuri,Swarat,https://scholar.google.com/citations?user=9j6RBYQAAAAJ&hl=en&oi=ao,1553,19,25,36,Rice University  ,Associate,72,
Anshumali Shrivastava,Shrivastava,Anshumali,https://scholar.google.com/citations?user=SGT23RAAAAAJ&hl=zh-CN&oi=ao,289,9,8,9,Rice University  ,Assistant,72,
Eric Allender,Allender,Eric,https://scholar.google.com/citations?user=dQwv9e4AAAAJ&hl=en&oi=ao,3729,36,74,90,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Alex Borgida,Borgida,Alex,https://scholar.google.com/citations?user=S5AaMfgAAAAJ&hl=en&oi=sra,11770,53,109,311,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Ahmed Elgammal,Elgammal,Ahmed,https://scholar.google.com/citations?user=DxQiCiIAAAAJ&hl=en&oi=ao,8064,34,72,119,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Martin Farach-Colton,Farach-Colton,Martin,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,7122,43,78,192,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Michael Fredman,Fredman,Michael,NA,NaN,NaN,NaN,193,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Apostolos Gerasoulis,Gerasoulis,Apostolos,https://scholar.google.com/citations?user=t5kb3asAAAAJ&hl=en&oi=ao,3256,23,35,63,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Liviu Iftode,Iftode,Liviu,https://scholar.google.com/citations?user=CIh57tYAAAAJ&hl=en&oi=ao,8416,51,104,154,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Tomasz Imielinski,Imielinski,Tomasz,https://scholar.google.com/citations?user=fEYp6hEAAAAJ&hl=en&oi=ao,32919,54,96,518,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Bahman Kalantari,Kalantari,Bahman,NA,NaN,NaN,NaN,37,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,COULD NOT FIND SCHOLAR
Ulrich Kremer,Kremer,Ulrich,https://scholar.google.com/citations?user=bJJePTgAAAAJ&hl=en&oi=sra,3923,29,48,103,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Casimir Kulikowski,Kulikowski,Casimir,https://scholar.google.com/citations?user=qaaZWDMAAAAJ&hl=en&oi=ao,7479,28,67,150,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Dimitris Metaxas,Metaxas,Dimitris,https://scholar.google.com/citations?user=a7VNhCIAAAAJ&hl=en&oi=ao,21211,72,289,332,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Naftaly Minsky,Minsky,Naftaly,NA,NaN,NaN,NaN,53,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Shan Muthukrishnan,Muthukrishnan,Shan,https://scholar.google.com/citations?user=MvyO9jAAAAAJ&hl=en&oi=sra,20400,73,232,310,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Badri Nath,Nath,Badri,https://scholar.google.com/citations?user=ZuCDNqwAAAAJ&hl=en&oi=ao,22260,62,130,464,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Thu Nguyen,Nguyen,Thu,https://scholar.google.com/citations?user=sm9xJEkAAAAJ&hl=en&oi=ao,3689,30,60,123,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Manish Parashar,Parashar,Manish,https://scholar.google.com/citations?user=SCM35lMAAAAJ&hl=en&oi=ao,8599,44,195,138,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Vladimir Pavlovic,Pavlovic,Vladimir,NA,NaN,NaN,NaN,187,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
William Steiger,Steiger,William,NA,NaN,NaN,NaN,43,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Louis Steinberg,Steinberg,Louis,NA,NaN,NaN,NaN,9,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Matthew Stone,Stone,Matthew,https://scholar.google.com/citations?user=3siz6_0AAAAJ&hl=en&oi=ao,3727,30,54,86,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Mario Szegedy,Szegedy,Mario,NA,NaN,NaN,NaN,244,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Endre Szemeredi,Szemeredi,Endre,NA,NaN,NaN,NaN,299,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Rebecca Wright,Wright,Rebecca,NA,NaN,NaN,NaN,NaN,Rutgers - The State University of New Jersey - New Brunswick  ,Full,73,
Kostas Bekris,Bekris,Kostas,https://scholar.google.com/citations?user=gwC7rCUAAAAJ&hl=en&oi=ao,2629,24,43,63,Rutgers - The State University of New Jersey - New Brunswick  ,Associate,73,
Abhishek Bhattacharjee,Bhattacharjee,Abhishek,https://scholar.google.com/citations?user=AopgnHAAAAAJ&hl=en&oi=ao,653,13,13,27,Rutgers - The State University of New Jersey - New Brunswick  ,Associate,73,
Vinod Ganapathy,Ganapathy,Vinod,https://scholar.google.com/citations?user=wrzZzwYAAAAJ&hl=en&oi=ao,1568,22,31,48,Rutgers - The State University of New Jersey - New Brunswick  ,Associate,73,
Swastik Kopparty,Kopparty,Swastik,NA,NaN,NaN,NaN,25,Rutgers - The State University of New Jersey - New Brunswick  ,Associate,73,
Ping Li,Li,Ping,NA,NaN,NaN,NaN,NaN,Rutgers - The State University of New Jersey - New Brunswick  ,Associate,73,
Amelie Marian,Marian,Amelie,https://scholar.google.com/citations?user=hcqjUUQAAAAJ&hl=en&oi=ao,2990,18,21,125,Rutgers - The State University of New Jersey - New Brunswick  ,Associate,73,
Richard Martin,Martin,Richard,NA,NaN,NaN,NaN,NaN,Rutgers - The State University of New Jersey - New Brunswick  ,Associate,73,
Pranjal Awasthi,Awasthi,Pranjal,https://scholar.google.com/citations?user=MDfW21AAAAAJ&hl=zh-CN&oi=ao,439,12,13,16,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
Abdeslam Boularias,Boularias,Abdeslam,https://scholar.google.com/citations?user=8AF3RCsAAAAJ&hl=zh-CN&oi=ao,279,8,7,7,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
David Cash,Cash,David,https://scholar.google.com/citations?user=K0rhcG0AAAAJ&hl=en&oi=ao,1794,18,19,60,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
Mubbasir Kapadia,Kapadia,Mubbasir,https://scholar.google.com/citations?user=xhkzmycAAAAJ&hl=en&oi=ao,768,16,23,27,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
Konstantinos Michmizos,Michmizos,Konstantinos,https://scholar.google.com/citations?user=vcNZjNoAAAAJ&hl=zh-CN&oi=ao,138,7,4,5,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
Santosh Nagarakatte,Nagarakatte,Santosh,https://scholar.google.com/citations?user=J7H4N_4AAAAJ&hl=en&oi=ao,798,12,13,30,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
Shubhangi Saraf,Saraf,Shubhangi,https://scholar.google.com/citations?user=NiRqwkcAAAAJ&hl=en&oi=ao,510,13,15,20,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
Jingjin Yu,Yu,Jingjin,https://scholar.google.com/citations?user=jkRa2LEAAAAJ&hl=zh-CN&oi=ao,409,12,13,14,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
Desheng Zhang,Zhang,Desheng,https://scholar.google.com/citations?user=cyEM2BoAAAAJ&hl=zh-CN,194,9,9,9,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
Zheng Zhang,Zhang,Zheng,https://scholar.google.com/citations?user=iWLEfFgAAAAJ&hl=en&oi=ao,71120,36,66,258,Rutgers - The State University of New Jersey - New Brunswick  ,Assistant,73,
"Chang, Frederick",Chang,Frederick,NA,NaN,NaN,NaN,0,Southern Methodist University  ,Full,74,
"Greenberg, Ira",Greenberg,Ira,NA,NaN,NaN,NaN,0,Southern Methodist University  ,Full,74,
"Matula, David",Matula,David,NA,NaN,NaN,NaN,97,Southern Methodist University  ,Full,74,
"Nair, Sukumaran",Nair,Sukumaran,NA,NaN,NaN,NaN,0,Southern Methodist University  ,Full,74,
"Thornton, Mitchell",Thornton,Mitchell,https://scholar.google.com/citations?user=qIY28F8AAAAJ&hl=en,1553,18,44,26,Southern Methodist University  ,Full,74,
"Tian, Jeff",Tian,Jeff,NA,NaN,NaN,NaN,49,Southern Methodist University  ,Full,74,
"Camp, Joseph",Camp,Joseph,https://scholar.google.com/citations?user=xe2AIQkAAAAJ&hl=en,1017,10,10,13,Southern Methodist University  ,Associate,74,
"Dunham, James",Dunham,James,https://scholar.google.com/citations?user=s2VQbjwAAAAJ&hl=en,805,12,12,18,Southern Methodist University  ,Associate,74,
"Engels, Daniel",Engels,Daniel,NA,NaN,NaN,NaN,96,Southern Methodist University  ,Associate,74,
"Huang, LiGuo",Huang,LiGuo,NA,NaN,NaN,NaN,11,Southern Methodist University  ,Associate,74,
"Hahsler, Michael",Hahsler,Michael,https://scholar.google.com/citations?user=uUg1IykAAAAJ&hl=en,1325,19,36,32,Southern Methodist University  ,Assistant,74,
"Larson, Eric",Larson,Eric,https://scholar.google.com/citations?user=vThE9GIAAAAJ&hl=en,1485,15,17,36,Southern Methodist University  ,Assistant,74,
Maneesh Agrawala,Agrawala,Maneesh,https://scholar.google.com/citations?user=YPzKczYAAAAJ&hl=en&oi=ao,10647,55,126,219,Stanford University  ,Full,75,
Alex Aiken,Aiken,Alex,https://scholar.google.com/citations?user=3vKjkoQAAAAJ&hl=en&oi=ao,15206,61,132,379,Stanford University  ,Full,75,
Dan Boneh,Boneh,Dan,https://scholar.google.com/citations?user=MwLqCs4AAAAJ&hl=en&oi=ao,51604,92,200,1163,Stanford University  ,Full,75,
Moses Charikar,Charikar,Moses,https://scholar.google.com/citations?user=zX3ba1kAAAAJ&hl=zh-CN&oi=ao,12078,49,101,404,Stanford University  ,Full,75,
William Dally,Dally,William,https://scholar.google.com/citations?user=YZHj-Y4AAAAJ&hl=en&oi=sra,38935,83,246,682,Stanford University  ,Full,75,
David Dill,Dill,David,https://scholar.google.com/citations?user=uy8T6BYAAAAJ&hl=en&oi=ao,31205,69,162,658,Stanford University  ,Full,75,
Ron Fedkiw,Fedkiw,Ron,https://scholar.google.com/citations?user=OoItXTkAAAAJ&hl=en&oi=sra,24765,61,98,627,Stanford University  ,Full,75,
Hector Garcia-Molina,Garcia-Molina,Hector,https://scholar.google.com/citations?user=bAa___kAAAAJ&hl=en&oi=ao,70165,126,387,1117,Stanford University  ,Full,75,
Leonidas Guibas,Guibas,Leonidas,https://scholar.google.com/citations?user=5JlEyTAAAAAJ&hl=en&oi=ao,40494,100,340,516,Stanford University  ,Full,75,
Patrick Hanrahan,Hanrahan,Patrick,NA,NaN,NaN,NaN,NaN,Stanford University  ,Full,75,
John Hennessy,Hennessy,John,https://scholar.google.com/citations?user=tp07xT0AAAAJ&hl=en&oi=ao,36180,66,142,368,Stanford University  ,Full,75,
Mark Horowitz,Horowitz,Mark,https://scholar.google.com/citations?user=e7V7-gEAAAAJ&hl=en&oi=ao,38927,106,345,679,Stanford University  ,Full,75,
Doug L. James,James,Doug L.,https://scholar.google.com/citations?user=r70ags0AAAAJ&hl=zh-CN&oi=ao,4360,31,39,165,Stanford University  ,Full,75,
Dan Jurafsky,Jurafsky,Dan,https://scholar.google.com/citations?user=uZg9l58AAAAJ&hl=en&oi=ao,25142,64,162,425,Stanford University  ,Full,75,
Oussama Khatib,Khatib,Oussama,https://scholar.google.com/citations?user=4arkOLcAAAAJ&hl=en&oi=ao,22234,58,163,301,Stanford University  ,Full,75,
Monica Lam,Lam,Monica,NA,NaN,NaN,NaN,633,Stanford University  ,Full,75,
James Landay,Landay,James,https://scholar.google.com/citations?user=oQsObk0AAAAJ&hl=zh-CN&oi=ao,17904,66,136,476,Stanford University  ,Full,75,
Chris Manning,Manning,Chris,https://scholar.google.com/citations?user=1zmDOdwAAAAJ&hl=en&oi=sra,52973,90,238,979,Stanford University  ,Full,75,
David Mazieres,Mazieres,David,NA,NaN,NaN,NaN,328,Stanford University  ,Full,75,
Nick McKeown,McKeown,Nick,https://scholar.google.com/citations?user=SqMUez0AAAAJ&hl=en&oi=ao,30180,77,167,672,Stanford University  ,Full,75,
John Mitchell,Mitchell,John,NA,NaN,NaN,NaN,NaN,Stanford University  ,Full,75,
Kunle Olukotun,Olukotun,Kunle,https://scholar.google.com/citations?user=IzXDyR8AAAAJ&hl=en&oi=ao,14319,57,113,304,Stanford University  ,Full,75,
John Ousterhout,Ousterhout,John,https://scholar.google.com/citations?user=nDH-AqwAAAAJ&hl=en&oi=ao,20525,50,92,602,Stanford University  ,Full,75,
Balaji Prabhakar,Prabhakar,Balaji,NA,NaN,NaN,NaN,317,Stanford University  ,Full,75,
Omer Reingold,Reingold,Omer,NA,NaN,NaN,NaN,178,Stanford University  ,Full,75,
Mendel Rosenblum,Rosenblum,Mendel,NA,NaN,NaN,NaN,528,Stanford University  ,Full,75,
Mehran Sahami,Sahami,Mehran,https://scholar.google.com/citations?user=ZasL8IoAAAAJ&hl=en&oi=ao,14012,31,60,351,Stanford University  ,Full,75,
Kenneth Salisbury,Salisbury,Kenneth,NA,NaN,NaN,NaN,411,Stanford University  ,Full,75,
Jennifer Widom,Widom,Jennifer,https://scholar.google.com/citations?user=zdKmnYwAAAAJ&hl=en&oi=ao,46072,93,200,1076,Stanford University  ,Full,75,
Clark Barrett,Barrett,Clark,https://scholar.google.com/citations?user=BtwmZfQAAAAJ&hl=zh-CN&oi=ao,4657,28,43,148,Stanford University  ,Associate,75,
Serafim Batzoglou,Batzoglou,Serafim,https://scholar.google.com/citations?user=POWKkqEAAAAJ&hl=en&oi=ao,44721,49,73,815,Stanford University  ,Associate,75,
Gill Bejerano,Bejerano,Gill,NA,NaN,NaN,NaN,281,Stanford University  ,Associate,75,
Ron Dror,Dror,Ron,NA,NaN,NaN,NaN,299,Stanford University  ,Associate,75,
Dawson Engler,Engler,Dawson,https://scholar.google.com/citations?user=Bz-b2a0AAAAJ&hl=en&oi=ao,12742,43,62,375,Stanford University  ,Associate,75,
Mike Genesereth,Genesereth,Mike,NA,NaN,NaN,NaN,386,Stanford University  ,Associate,75,
Sachin Katti,Katti,Sachin,https://scholar.google.com/citations?user=cc4Qi_IAAAAJ&hl=en&oi=ao,11522,32,55,300,Stanford University  ,Associate,75,
Christos Kozyrakis,Kozyrakis,Christos,https://scholar.google.com/citations?user=G2EJz5kAAAAJ&hl=en&oi=ao,12837,59,118,262,Stanford University  ,Associate,75,
Jure Leskovec,Leskovec,Jure,https://scholar.google.com/citations?user=Q_kKkIUAAAAJ&hl=en&oi=ao,26291,68,126,693,Stanford University  ,Associate,75,
Philip Levis,Levis,Philip,https://scholar.google.com/citations?user=I_YsXU4AAAAJ&hl=en&oi=ao,18612,52,89,330,Stanford University  ,Associate,75,
Fei-Fei Li,Li,Fei-Fei,https://scholar.google.com/citations?user=rDfyQnIAAAAJ&hl=en&oi=ao,25508,55,105,633,Stanford University  ,Associate,75,
Subhasish Mitra,Mitra,Subhasish,NA,NaN,NaN,NaN,178,Stanford University  ,Associate,75,
Tim Roughgarden,Roughgarden,Tim,https://scholar.google.com/citations?user=0lcJYs8AAAAJ&hl=en&oi=ao,12376,48,102,225,Stanford University  ,Associate,75,
Peter Bailis,Bailis,Peter,https://scholar.google.com/citations?user=qG1LVpQAAAAJ&hl=zh-CN&oi=ao,762,16,16,35,Stanford University  ,Assistant,75,
Michael Bernstein,Bernstein,Michael,https://scholar.google.com/citations?user=zkhHirIAAAAJ&hl=en&oi=ao,5417,28,55,150,Stanford University  ,Assistant,75,
Stefano Ermon,Ermon,Stefano,NA,NaN,NaN,NaN,6,Stanford University  ,Assistant,75,
Anshul Kundaje,Kundaje,Anshul,https://scholar.google.com/citations?user=T2vp1pgAAAAJ&hl=en&oi=ao,9820,29,33,186,Stanford University  ,Assistant,75,
Percy Liang,Liang,Percy,https://scholar.google.com/citations?user=pouyVyUAAAAJ&hl=en&oi=ao,3425,27,49,121,Stanford University  ,Assistant,75,
Chris Re,Re,Chris,NA,NaN,NaN,NaN,NaN,Stanford University  ,Assistant,75,
Silvio Savarese,Savarese,Silvio,https://scholar.google.com/citations?user=ImpbxLsAAAAJ&hl=en&oi=ao,4978,39,85,108,Stanford University  ,Assistant,75,
Greg Valiant,Valiant,Greg,NA,NaN,NaN,NaN,NaN,Stanford University  ,Assistant,75,
Ryan Williams,Williams,Ryan,https://scholar.google.com/citations?user=EnEiF7oAAAAJ&hl=en&oi=ao,2988,24,42,76,Stanford University  ,Assistant,75,
Virginia Williams,Williams,Virginia,https://scholar.google.com/citations?user=Wph6P_IAAAAJ&hl=en&oi=ao,1490,19,30,34,Stanford University  ,Assistant,75,
Keith Winstein,Winstein,Keith,https://scholar.google.com/citations?user=S5sz8gIAAAAJ&hl=en&oi=ao,395,12,12,13,Stanford University  ,Assistant,75,
Mary Wootters,Wootters,Mary,https://scholar.google.com/citations?user=LiH53A8AAAAJ&hl=zh-CN&oi=ao,244,8,6,6,Stanford University  ,Assistant,75,
Matei Zaharia,Zaharia,Matei,https://scholar.google.com/citations?user=I1EvjZsAAAAJ&hl=zh-CN&oi=ao,23050,32,49,300,Stanford University  ,Assistant,75,
"Ateniese, Giuseppe",Ateniese,Giuseppe,https://scholar.google.com/citations?user=EyZJ08MAAAAJ&hl=en&oi=ao,11310,38,54,279,Stevens Institute of Technology  ,Full,76,
"Naumann, David",Naumann,David,https://scholar.google.com/citations?user=ZC0qa2EAAAAJ&hl=en&oi=ao,2470,29,50,64,Stevens Institute of Technology  ,Full,76,ADDED SCHOLAR
"Compagnoni, Adriana",Compagnoni,Adriana,https://scholar.google.com/citations?user=S-zXJGUAAAAJ&hl=en&oi=ao,1047,17,22,33,Stevens Institute of Technology  ,Associate,76,
"Duggan, Dominic",Duggan,Dominic,NA,NaN,NaN,NaN,26,Stevens Institute of Technology  ,Associate,76,
"Dunn, Enrique",Dunn,Enrique,https://scholar.google.com/citations?user=eEOX_EoAAAAJ&hl=en&oi=ao,845,11,14,18,Stevens Institute of Technology  ,Associate,76,
