"","University.Name","CS.Score","CS.rank","Web","University.Rank","University.Score","ID","Department","College","Affiliated","Comments.about.inclusion","total_citations"
"112","University of Idaho",0,0,"https://www.uidaho.edu/engr/departments/cs/",171,33,113,"CS","?","No","",4254
"113","University of Illinois Chicago",2.7,60,"https://www.cs.uic.edu/",152,37,114,"CS","Engineering","No","",153110
"114","University of Illinois Urbana Champaign",4.6,5,"https://cs.illinois.edu/",44,63,115,"CS","Engineering","Outside","affiliated not included; 46 faculty they list as 'affiliates' are mostly from ECE",620842
"115","University of Iowa",2.6,63,"https://cs.uiowa.edu/",82,52,116,"CS","Liberal Arts & Sci","Outside","affiliated not included",35737
"116","University of Kansas",2.3,82,"http://www.eecs.ku.edu/",118,44,117,"EECS","Engineering","Within, clearly annotated","EECS department with a single list, we manually selected CS faculty",58301
"117","University of Kentucky",2.2,90,"http://www.cs.uky.edu/",133,41,118,"CS","Engineering","No","",40963
"118","University of Louisiana Lafayette",0,0,"http://computing.louisiana.edu/",0,0,119,"CS","Computing & Informatics","No","",27201
"119","University of Louisville",0,0,"http://louisville.edu/speed/computer/",171,33,120,"CECS","Engineering","No","CECS department with a single faculty list, all of them are CS-related, included all of them",16808
"120","University of Maine",0,0,"https://umaine.edu/cs/",183,31,121,"CS","Computing & Info Science","No","",8202
"121","University of Maryland Baltimore County",2.4,70,"https://www.csee.umbc.edu/",159,36,122,"CSEE","Engineering & Info Science","Outside","affiliated not included; we manually selected CS faculty",98644
"122","University of Maryland College Park",4,15,"https://www.cs.umd.edu/",60,59,123,"CS","Comp&Math&Natural","Outside","affiliated not included",384230
"123","University of Massachusetts Amherst",3.6,25,"https://www.cics.umass.edu/",74,54,124,"College Info&CS","Own","No","",328616
"124","University of Massachusetts Boston",0,0,"http://www.cs.umb.edu/",220,24,125,"CS","Science & Math","No","",19333
"125","University of Massachusetts Lowell",0,0,"https://www.uml.edu/Sciences/computer-science/",152,37,126,"CS","Science","No","",28065
"126","University of Memphis",0,0,"http://www.memphis.edu/cs/",0,0,127,"CS","?","Outside","affiliated not included",24810
"127","University of Michigan Ann Arbor",4.1,13,"https://www.eecs.umich.edu/",27,74,128,"EECS","Engineering","No","EECS department, we manually selected CS faculty",375142
"128","University of Minnesota Twin Cities",3.4,29,"https://www.cs.umn.edu/",71,55,129,"CS","Science&Engineering","No","",383518
"129","University of Mississippi",0,0,"http://cs.olemiss.edu/",135,40,130,"CIS","?","Outside","affiliated not included",5949
"130","University of Missouri",2.1,101,"http://engineering.missouri.edu/cs/",111,45,131,"CS","Engineering","Outside","affiliated not included",42041
"131","University of Missouri Kansas City",0,0,"https://sce.umkc.edu/",210,26,132,"CSEE","Computing & Engineering","Outside","affiliated not included; we manually selected CS faculty",24048
"132","University of Nebraska Lincoln",2.4,70,"http://cse.unl.edu/",111,45,133,"CSE","Engineering","No","CSE department with a single faculty list, all of them are CS-related, included all of them",101474
"133","University of Nebraska Omaha",0,0,"https://www.unomaha.edu/college-of-information-science-and-technology/computer-science/",0,0,134,"CS","IST","No","",3548
"134","University of Nevada Reno",0,0,"https://www.unr.edu/cse/",197,28,135,"CSE","?","No","CSE department with a single faculty list, all of them are CS-related, included all of them",22355
"135","University of New Mexico",2.3,82,"http://www.cs.unm.edu/",176,32,136,"CS","Engineering","Outside","affiliated not included",60410
"136","University of New Orleans",0,0,"http://www.uno.edu/cos/computer-science/",0,0,137,"CS","Science","No","",5886
"137","University of North Carolina Chapel Hill",3.6,25,"http://cs.unc.edu/",30,71,138,"CS","No","No","",186737
"138","University of North Carolina Charlotte",2.1,101,"http://cs.uncc.edu/",202,27,139,"CS","Computing & Informatics","No","",29160
"139","University of North Texas",0,0,"http://computerscience.engineering.unt.edu/",0,0,140,"CSE","?","No","CSE department with a single faculty list, all of them are CS-related, included all of them",26512
"140","University of Notre Dame",2.7,60,"https://cse.nd.edu/",15,85,141,"CSE","Engineering","Outside","affiliated not included; CSE department, only one non CS faculty (CMOS) excluded",104202
"141","University of Oklahoma",2,112,"http://www.ou.edu/content/coe/cs/",111,45,142,"CS","Engineering","No","",13407
"142","University of Oregon",2.6,63,"https://cs.uoregon.edu/",103,47,143,"CS","?","No","",31049
"143","University of Pennsylvania",3.8,19,"https://www.cis.upenn.edu/index.php",8,92,144,"CS","Engineering","Outside","affiliated not included",275086
"144","University of Pittsburgh",2.9,52,"https://cs.pitt.edu/people/",68,57,145,"CS","School of Computing & Information","No","",62890
"145","University of Rochester",2.9,52,"http://www.cs.rochester.edu/",32,68,146,"CS","Engineering and Applied Sci","Outside","affiliated not included",104689
"146","University of South Carolina",2.1,101,"https://www.sc.edu/study/colleges_schools/engineering_and_computing/study/areas_of_study/computer_science_and_engineering/",107,46,147,"CSE","Engineering & Computing","No","CSE department with a single faculty list, all of them are CS-related, included all of them",47154
"147","University of South Florida",2.1,101,"http://www.usf.edu/engineering/cse/research/index.aspx",159,36,148,"CSE","Engineering","Outside","affiliated not included; CSE department with a single faculty list, all of them are CS-related, included all of them",76383
"148","University of Southern California",3.7,20,"http://www.cs.usc.edu/",23,77,149,"CS","Engineering","Outside","affiliated not included",282878
"149","University of Southern Mississippi",0,0,"https://www.usm.edu/computing/welcome-computer-science",220,24,150,"Computing","Computing","No","",5608
"150","University of Tennessee Knoxville",2.4,70,"https://www.eecs.utk.edu/",103,47,151,"EECS","Engineering","No","EECS department, we manually selected CS faculty",198864
"151","University of Texas Arlington",2.2,90,"https://cse.uta.edu/",0,0,152,"CSE","Engineering","No","EECS department, we manually selected CS faculty",75253
"152","University of Texas Austin",4.3,9,"https://www.cs.utexas.edu/",56,60,153,"CS","Natural Sciences","No","",477164
"153","University of Texas Dallas",2.4,70,"http://cs.utdallas.edu/",46,38,154,"CS","Engineering","No","",199856
"154","University of Texas El Paso",0,0,"http://www.cs.utep.edu/",0,0,155,"CS","?","Outside","affiliated not included",26978
"155","University of Texas San Antonio",0,0,"http://www.cs.utsa.edu/",0,0,156,"CS","?","Outside","affiliated not included",77421
"156","University of Tulsa",0,0,"https://utulsa.edu/department/computer-science",86,51,157,"CS","Engineering & Natural Science","No","",13149
"157","University of Utah",3.1,40,"http://www.cs.utah.edu/",111,45,158,"School of Computing","Own","No","",144426
